SKU,Produto,Variacao,Vendido_12_meses,Ritmo_mensal,Estoque_atual,Estoque_minimo_3_meses
KUSM0300,Brass Kuripe,,0,0,0,0
KUTF0100,Kuripe Sacred Flow,,0,0,20,0
KUTP0100,Kuripe - Eagle,,0,0,12,0
KUTP0200,Kuripe - Buzio,,3,0.25,5,1
KUTP0300,Kuripe - Crystal,,11,0.92,10,3
KUTP04,Kuripe - Jagube,Green,3,0.25,4,1
KUTP0401,Kuripe - Jagube,Red,0,0,10,0
KUTP0500,Kuripe - Murmuru,,0,0,9,0
KUTP0601,Kuripe - Blue Bird,,1,0.08,9,1
KUTP0602,Kuripe - Black Bird,,4,0.33,4,1
KUTP0603,Bambu and Resin Kuripe - Yellow Birdie,,5,0.42,0,2
KUTP0800,Kuripe with Snuff Container,,6,0.5,15,2
KUTP1000,Kuripe - Double Barrel,,0,0,5,0
KUTP1101,Kuripe - Double Barrel Crystal,Red,2,0.17,0,1
KUTP1102,Kuripe - Double Barrel Crystal,Dark Green,0,0,6,0
KUTP1103,Kuripe - Double Barrel Crystal,Green,0,0,2,0
KUTP1104,Kuripe - Double Barrel Crystal,Purple,0,0,0,0
KUTP1105,Kuripe - Double Barrel Crystal,Colorful,0,0,0,0
KUTP1106,Kuripe - Double Barrel Crystal,Gray,0,0,2,0
KUTP1107,Kuripe - Double Barrel Crystal,Blue,4,0.33,0,1
KUTP1108,Kuripe - Double Barrel Crystal,Light Green,0,0,0,0
KUTP1109,Kuripe - Double Barrel Crystal,Black,0,0,0,0
KUTP1200,Kuripe - Crystal XL,Gray,0,0,4,0
KUTP1201,Kuripe - Crystal XL,Green,0,0,9,0
KUTP1202,Kuripe - Crystal XL,Red,0,0,8,0
KUTP1203,Kuripe - Crystal XL,Blue,1,0.08,2,1
KUTP1204,Kuripe - Crystal XL,Yellow,0,0,6,0
KUTP1205,Kuripe - Crystal XL,Light Green,0,0,6,0
KUTP1206,Kuripe - Crystal XL,Light Blue,0,0,0,0
KUTP1207,Kuripe - Crystal XL,Purple,0,0,0,0
KUTP1400,Kuripe - Hare Haux,Black,0,0,4,0
KUTP1401,Kuripe - Hare Haux,Gray,4,0.33,5,1
KUTP1500,Kuripe - Kaya Keximãwã,,0,0,8,0
KUTP1600,Kuripe - Hummingbird,,1,0.08,2,1
KUTP1900,Kuripe - Sacred Trinity,,4,0.33,0,1
KUTP2000,Kuripe - Hummingbird Marajá,Gray,0,0,5,0
KUTP2001,Kuripe - Hummingbird Marajá,Blue,0,0,0,0
KUTP2400,Kuripe - Tetê Pawã,,1,0.08,4,1
KUTP2700,Kuripe - Kambo,,4,0.33,6,1
KUTP2800,Kuripe Bamboo - Steppen Wolf,,4,0.33,6,1
KUTP2900,Kuripe Bamboo - Simple Black,,18,1.5,14,5
KUTP3000,Kuripe Bamboo - Harpy,,3,0.25,7,1
KUWA0100,Adjustable Kuripe,,14,1.17,0,4
KUWE0300,Kuripe - Xtra Large,,12,1,8,3
KUWE0304,Kuripe Kambo - Xtra Large,,1,0.08,0,1
KUWE0400,Kuripe - Sacred Animals,Green Serpent,1,0.08,3,1
KUWE0401,Kuripe - Sacred Animals,Yellow Serpent,0,0,0,0
KUWE0402,Kuripe - Sacred Animals,Brown Serpent,1,0.08,1,1
KUWE0403,Kuripe - Sacred Animals,Light Brown Serpent,0,0,0,0
KUWE0500,Kuripe - Sacred Animals,Kambo,0,0,6,0
KUWE0600,Kuripe - Sacred Animals,Serpent & Kambo,0,0,0,0
KUWE0700,Kuripe Amazona - Xtra Large,,1,0.08,0,1
MAPL0100,"Cocoa Butter 100% Pure - 1,75Oz (50g)",,9,0.75,9,3
OGCO0100,100% Organic Ceremonial Cacao,,280,23.33,58,70
OGCO0200,Ceremonial Cacao - Putumayo,,17,1.42,2,5
OLPL0104,Andiroba Oil - 10ml,,0,0,34,0
OLPL0204,Buriti Oil - 10ml,,10,0.83,9,3
OLPL0204-1,Açaí Oil - 10ml,,3,0.25,65,1
OLPL0304,Copaiba Oil - 10ml,,10,0.83,0,3
PPSE0100,"Purple Passionflower Extract - Passiflora Incarnata - MAYA, 10ml",,14,1.17,15,4
PROD1171,Rapé Snuff Bottle,,0,0,0,0
PROD531,"INÚ, Canto do filho da Onça - Xití Nukini",,0,0,0,0
PRTP0100,Kuntanawa Rapé Container,Gray,0,0,2,0
PRTP0101,Kuntanawa Rapé Container,Blue,0,0,0,0
PRTP0102,Kuntanawa Rapé Container,Colorful,0,0,0,0
PRTP0103,Kuntanawa Rapé Container,Red,2,0.17,1,1
PRTP0104,Kuntanawa Rapé Container,Green,2,0.17,2,1
PRTP0105,Kuntanawa Rapé Container,Yellow,0,0,0,0
PRTP0106,Kuntanawa Rapé Container,Kuntanawa Rapé Container,0,0,0,0
PRTP0200,Rapé Snuff Bottle - Small,Green,0,0,3,0
PRTP0201,Rapé Snuff Bottle - Small,Gray,0,0,1,0
PRTP0300,Rapé Snuff Bottle - Medium,Gray,2,0.17,13,1
PRTP0301,Rapé Snuff Bottle - Medium,Green,2,0.17,2,1
PRTP0400,Kuntanawa Rapé Container - Kenê,,3,0.25,11,1
PSSE0100,"Sage Extracts - Palo Santo Essential Oil - Bursera graveolens from Ecuador, 10ml",,5,0.42,12,2
RAAP0104,Apurinã Rapé - Awiry or Green Snuff,"0,35oz (10gr.)",65,5.42,0,17
RAAP0105,Apurinã Rapé - Awiry or Green Snuff,"0,70oz (20gr.)",57,4.75,0,15
RAAP0106,Apurinã Rapé - Awiry or Green Snuff,"1,7oz(50gr.)",84,7,9,21
RAAP0109,Apurinã Rapé - Awiry or Green Snuff,"0,17oz (5gr.)",102,8.5,0,26
RACO0104,Caboclo Rapé - Eucalipto,"0,35oz (10gr.)",38,3.17,0,10
RACO0105,Caboclo Rapé - Eucalipto,"0,70oz (20gr.)",21,1.75,0,6
RACO0106,Caboclo Rapé - Eucalipto,"1,7oz(50gr.)",13,1.08,0,4
RACO0109,Caboclo Rapé - Eucalipto,"0,17oz (5gr.)",35,2.92,0,9
RACO0504,Caboclo Rapé - Paricá,"0,35oz (10gr.)",161,13.42,0,41
RACO0505,Caboclo Rapé - Paricá,"0,70oz (20gr.)",77,6.42,0,20
RACO0506,Caboclo Rapé - Paricá,"1,7oz(50gr.)",43,3.58,0,11
RACO0509,Caboclo Rapé - Paricá,"0,17oz (5gr.)",75,6.25,0,19
RACO0604,Caboclo Rapé - Parica Xtra,"0,35oz (10gr.)",429,35.75,0,108
RACO0605,Caboclo Rapé - Parica Xtra,"0,70oz (20gr.)",75,6.25,5,19
RACO0606,Caboclo Rapé - Parica Xtra,"1,7oz(50gr.)",0,0,12,0
RACO0609,Caboclo Rapé - Parica Xtra,"0,17oz (5gr.)",186,15.5,0,47
RACO0704,Caboclo Rapé - Croa,"0,35oz (10gr.)",25,2.08,0,7
RACO0705,Caboclo Rapé - Croa,"0,70oz (20gr.)",16,1.33,0,4
RACO0706,Caboclo Rapé - Croa,"1,7oz(50gr.)",12,1,2,3
RACO0709,Caboclo Rapé - Croa,"0,17oz (5gr.)",0,0,3,0
RACO0804,Caboclo Rapé - Yuxibu,"0,35oz (10gr.)",46,3.83,0,12
RACO0805,Caboclo Rapé - Yuxibu,"0,70oz (20gr.)",0,0,27,0
RACO0806,Caboclo Rapé - Yuxibu,"1,7oz(50gr.)",12,1,3,3
RACO0809,Caboclo Rapé - Yuxibu,"0,17oz (5gr.)",0,0,0,0
RACO0904,Caboclo Rapé - Flor de Jaci,"0,35oz (10gr.)",0,0,5,0
RACO0905,Caboclo Rapé - Flor de Jaci,"0,70oz (20gr.)",0,0,0,0
RACO0906,Caboclo Rapé - Flor de Jaci,"1,7oz(50gr.)",28,2.33,0,7
RACO0909,Caboclo Rapé - Flor de Jaci,"0,17oz (5gr.)",60,5,0,15
RACO1104,Caboclo Rapé - Amazon Green,"0,35oz (10gr.)",100,8.33,0,25
RACO1105,Caboclo Rapé - Amazon Green,"0,70oz (20gr.)",54,4.5,0,14
RACO1106,Caboclo Rapé - Amazon Green,"1,7oz(50gr.)",7,0.58,0,2
RACO1109,Caboclo Rapé - Amazon Green,"0,17oz (5gr.)",42,3.5,0,11
RAGE0104,Caboclo Rapé - Gesileu Traditional,"0,35oz (10gr.)",18,1.5,19,5
RAGE0105,Caboclo Rapé - Gesileu Traditional,"0,70oz (20gr.)",0,0,9,0
RAGE0106,Caboclo Rapé - Gesileu Traditional,"1,7oz(50gr.)",12,1,0,3
RAGE0109,Caboclo Rapé - Gesileu Traditional,"0,17oz (5gr.)",13,1.08,37,4
RAGE0204,Caboclo Rapé - Gesileu,"0,35oz (10gr.)",56,4.67,0,14
RAGE0205,Caboclo Rapé - Gesileu,"0,70oz (20gr.)",38,3.17,0,10
RAGE0206,Caboclo Rapé - Gesileu,"1,7oz(50gr.)",13,1.08,0,4
RAGE0209,Caboclo Rapé - Gesileu,"0,17oz (5gr.)",0,0,0,0
RAHK0104,Huni Kuin Floresta Rapé,"0,35oz (10gr.)",54,4.5,0,14
